indicator_code,indicator_name,definition_or_additional_info
PLYLLEUK_ANNHOMTH,Leukemia,"Years lost, /100 000 males, aged 75 years old"
PLYLBLAD_ANNHOMTH,Malignant neoplasms of bladder,"Years lost, /100 000 males, aged 75 years old"
PLYLSKIN_ANNHOMTH,Malignant melanoma of skin,"Years lost, /100 000 males, aged 75 years old"
PLYLDMTA_ANNHOMTH,Dementia,"Years lost, /100 000 males, aged 75 years old"
PLYLPARK_ANNHOMTH,Parkinson's disease,"Years lost, /100 000 males, aged 75 years old"
PLYLALZH_ANNHOMTH,Alzheimer's disease,"Years lost, /100 000 males, aged 75 years old"
PLYLPNEU_ANNHOMTH,Pneumonia,"Years lost, /100 000 males, aged 75 years old"
PLYLASMA_ANNHOMTH,Asthma,"Years lost, /100 000 males, aged 75 years old"
PLYLPEPT_ANNHOMTH,Peptic ulcer,"Years lost, /100 000 males, aged 75 years old"
PLYLACCD_ANNHOMTH,Accidents,"Years lost, /100 000 males, aged 75 years old"
PLYLPOSN_ANNHOMTH,Accidental poisoning,"Years lost, /100 000 males, aged 75 years old"
PLYLALLC_ANNFEMTF,All causes of death,"Years lost, /100 000 females, aged 75 years old"
PLYLINFE_ANNFEMTF,Certain infectious and parasitic diseases,"Years lost, /100 000 females, aged 75 years old"
PLYLHIVD_ANNFEMTF,HIV-AIDS,"Years lost, /100 000 females, aged 75 years old"
PLYLTUME_ANNFEMTF,Malignant neoplasms,"Years lost, /100 000 females, aged 75 years old"
PLYLNCRA_ANNFEMTF,"Malignant neoplasms of colon, rectum and anus","Years lost, /100 000 females, aged 75 years old"
PLYLCANC_ANNFEMTF,"Malignant neoplasms of trachea, bronchus, lung","Years lost, /100 000 females, aged 75 years old"
PLYLMNBR,Malignant neoplasms of female breast,"Years lost, /100 000 females, aged 75 years old"
PLYLCRVX,Malignant neoplasms of cervix uteri,"Years lost, /100 000 females, aged 75 years old"
PLYLSANG_ANNFEMTF,Diseases of the blood and blood-forming organs,"Years lost, /100 000 females, aged 75 years old"
PLYLENDO_ANNFEMTF,"Endocrine, nutritional and metabolic diseases","Years lost, /100 000 females, aged 75 years old"
PLYLDBTM_ANNFEMTF,Diabetes mellitus,"Years lost, /100 000 females, aged 75 years old"
PLYLTROU_ANNFEMTF,Mental and behavioural disorders,"Years lost, /100 000 females, aged 75 years old"
PLYLNERV_ANNFEMTF,Diseases of the nervous system,"Years lost, /100 000 females, aged 75 years old"
PLYLCIRC_ANNFEMTF,Diseases of the circulatory system,"Years lost, /100 000 females, aged 75 years old"
PLYLISCH_ANNFEMTF,Ischaemic heart diseases,"Years lost, /100 000 females, aged 75 years old"
PLYLMYOC_ANNFEMTF,Acute myocardial infarction,"Years lost, /100 000 females, aged 75 years old"
PLYLCERV_ANNFEMTF,Cerebrovascular diseases,"Years lost, /100 000 females, aged 75 years old"
PLYLREPS_ANNFEMTF,Diseases of the respiratory system,"Years lost, /100 000 females, aged 75 years old"
PLYLINPN_ANNFEMTF,Influenza,"Years lost, /100 000 females, aged 75 years old"
PLYLBAEM_ANNFEMTF,Chronic obstructive pulmonary diseases,"Years lost, /100 000 females, aged 75 years old"
PLYLDIGE_ANNFEMTF,Diseases of the digestive system,"Years lost, /100 000 females, aged 75 years old"
PLYLCIRR_ANNFEMTF,Chronic liver diseases and cirrhosis,"Years lost, /100 000 females, aged 75 years old"
PLYLPEAU_ANNFEMTF,Diseases of the skin and subcutaneous tissue,"Years lost, /100 000 females, aged 75 years old"
PLYLOSTE_ANNFEMTF,Diseases of the musculoskeletal system and connective tissue,"Years lost, /100 000 females, aged 75 years old"
PLYLGENI_ANNFEMTF,Diseases of the genitourinary system,"Years lost, /100 000 females, aged 75 years old"
PLYLGROS,"Complications of pregnancy, childbirth and the puerperium","Years lost, /100 000 females, aged 75 years old"
PLYLAFFE_ANNFEMTF,Certain conditions originating in the perinatal period,"Years lost, /100 000 females, aged 75 years old"
PLYLCONG_ANNFEMTF,Congenital malformations and chromosomal abnormalities,"Years lost, /100 000 females, aged 75 years old"
PLYLSYMP_ANNFEMTF,"Symptoms, signs, ill-defined causes","Years lost, /100 000 females, aged 75 years old"
PLYLEXTC_ANNFEMTF,External causes of mortality,"Years lost, /100 000 females, aged 75 years old"
PLYLTRAC_ANNFEMTF,Transport Accidents,"Years lost, /100 000 females, aged 75 years old"
PLYLCHUT_ANNFEMTF,Accidental falls,"Years lost, /100 000 females, aged 75 years old"
PLYLHARM_ANNFEMTF,Intentional self-harm,"Years lost, /100 000 females, aged 75 years old"
PLYLHOCD_ANNFEMTF,Assault,"Years lost, /100 000 females, aged 75 years old"
PLYLTBLS_ANNFEMTF,Tuberculosis,"Years lost, /100 000 females, aged 75 years old"
PLYLNEOP_ANNFEMTF,Neoplasms,"Years lost, /100 000 females, aged 75 years old"
PLYLSTOM_ANNFEMTF,Malignant neoplasms of stomach,"Years lost, /100 000 females, aged 75 years old"
PLYLPANC_ANNFEMTF,Malignant neoplasms of pancreas,"Years lost, /100 000 females, aged 75 years old"
PLYLLIVR_ANNFEMTF,Malignant neoplasms of liver,"Years lost, /100 000 females, aged 75 years old"
PLYLOVRY,Malignant neoplasms of ovary,"Years lost, /100 000 females, aged 75 years old"
PLYLHODG_ANNFEMTF,Hodgkin’s disease,"Years lost, /100 000 females, aged 75 years old"
PLYLLEUK_ANNFEMTF,Leukemia,"Years lost, /100 000 females, aged 75 years old"
PLYLBLAD_ANNFEMTF,Malignant neoplasms of bladder,"Years lost, /100 000 females, aged 75 years old"
PLYLSKIN_ANNFEMTF,Malignant melanoma of skin,"Years lost, /100 000 females, aged 75 years old"
PLYLDMTA_ANNFEMTF,Dementia,"Years lost, /100 000 females, aged 75 years old"
PLYLPARK_ANNFEMTF,Parkinson's disease,"Years lost, /100 000 females, aged 75 years old"
PLYLALZH_ANNFEMTF,Alzheimer's disease,"Years lost, /100 000 females, aged 75 years old"
PLYLPNEU_ANNFEMTF,Pneumonia,"Years lost, /100 000 females, aged 75 years old"
PLYLASMA_ANNFEMTF,Asthma,"Years lost, /100 000 females, aged 75 years old"
PLYLPEPT_ANNFEMTF,Peptic ulcer,"Years lost, /100 000 females, aged 75 years old"
PLYLACCD_ANNFEMTF,Accidents,"Years lost, /100 000 females, aged 75 years old"
PLYLPOSN_ANNFEMTF,Accidental poisoning,"Years lost, /100 000 females, aged 75 years old"
DISASRAB,Self-reported absence from work due to illness,Number of days lost per person per year
DISACPAB,Compensated absence from work due to illness,Number of days lost per person per year
EVIEFE00_EVIDUREV,Females at birth,Years
EVIEFE40_EVIDUREV,Females at age 40,Years
EVIEFE60_EVIDUREV,Females at age 60,Years
EVIEFE65_EVIDUREV,Females at age 65,Years
EVIEFE80_EVIDUREV,Females at age 80,Years
EVIEHO00_EVIDUREV,Males at birth,Years
EVIEHO40_EVIDUREV,Males at age 40,Years
EVIEHO60_EVIDUREV,Males at age 60,Years
EVIEHO65_EVIDUREV,Males at age 65,Years
EVIEHO80_EVIDUREV,Males at age 80,Years
EVIETOTA,Total population at birth,Years
MATIINFA,"Infant mortality, No minimum threshold of gestation period or birthweight",Deaths per 1 000 live births
MATINEON,"Neonatal mortality, No minimum threshold of gestation period or birthweight",Deaths per 1 000 live births
COMDAIDS_NEWCASTX,Acquired immunodeficiency syndrome (AIDS),Incidence per 100 000 population
COMDIPER,Incidence of pertussis,Incidence per 100 000 population
COMDIMEA,Incidence of measles,Incidence per 100 000 population
COMDIHPB,Incidence of hepatitis B,Incidence per 100 000 population
CANCTOCA_PERCMTTX,Malignant neoplasms,Incidence per 100 000 population
CANCCOLC_PERCMTTX,Malignant neoplasms of colon,Incidence per 100 000 population
CANCLUNC_PERCMTTX,Malignant neoplasms of lung,Incidence per 100 000 population
PLYLALLC_ANNTOTTX,All causes of death,"Years lost, /100 000 population, aged 75 years old"
PLYLINFE_ANNTOTTX,Certain infectious and parasitic diseases,"Years lost, /100 000 population, aged 75 years old"
PLYLHIVD_ANNTOTTX,HIV-AIDS,"Years lost, /100 000 population, aged 75 years old"
PLYLTUME_ANNTOTTX,Malignant neoplasms,"Years lost, /100 000 population, aged 75 years old"
PLYLNCRA_ANNTOTTX,"Malignant neoplasms of colon, rectum and anus","Years lost, /100 000 population, aged 75 years old"
PLYLCANC_ANNTOTTX,"Malignant neoplasms of trachea, bronchus, lung","Years lost, /100 000 population, aged 75 years old"
PLYLSANG_ANNTOTTX,Diseases of the blood and blood-forming organs,"Years lost, /100 000 population, aged 75 years old"
PLYLENDO_ANNTOTTX,"Endocrine, nutritional and metabolic diseases","Years lost, /100 000 population, aged 75 years old"
PLYLDBTM_ANNTOTTX,Diabetes mellitus,"Years lost, /100 000 population, aged 75 years old"
PLYLTROU_ANNTOTTX,Mental and behavioural disorders,"Years lost, /100 000 population, aged 75 years old"
PLYLNERV_ANNTOTTX,Diseases of the nervous system,"Years lost, /100 000 population, aged 75 years old"
PLYLCIRC_ANNTOTTX,Diseases of the circulatory system,"Years lost, /100 000 population, aged 75 years old"
PLYLISCH_ANNTOTTX,Ischaemic heart diseases,"Years lost, /100 000 population, aged 75 years old"
PLYLMYOC_ANNTOTTX,Acute myocardial infarction,"Years lost, /100 000 population, aged 75 years old"
PLYLCERV_ANNTOTTX,Cerebrovascular diseases,"Years lost, /100 000 population, aged 75 years old"
PLYLREPS_ANNTOTTX,Diseases of the respiratory system,"Years lost, /100 000 population, aged 75 years old"
PLYLINPN_ANNTOTTX,Influenza,"Years lost, /100 000 population, aged 75 years old"
PLYLBAEM_ANNTOTTX,Chronic obstructive pulmonary diseases,"Years lost, /100 000 population, aged 75 years old"
PLYLDIGE_ANNTOTTX,Diseases of the digestive system,"Years lost, /100 000 population, aged 75 years old"
PLYLCIRR_ANNTOTTX,Chronic liver diseases and cirrhosis,"Years lost, /100 000 population, aged 75 years old"
PLYLPEAU_ANNTOTTX,Diseases of the skin and subcutaneous tissue,"Years lost, /100 000 population, aged 75 years old"
PLYLOSTE_ANNTOTTX,Diseases of the musculoskeletal system and connective tissue,"Years lost, /100 000 population, aged 75 years old"
PLYLGENI_ANNTOTTX,Diseases of the genitourinary system,"Years lost, /100 000 population, aged 75 years old"
PLYLAFFE_ANNTOTTX,Certain conditions originating in the perinatal period,"Years lost, /100 000 population, aged 75 years old"
PLYLCONG_ANNTOTTX,Congenital malformations and chromosomal abnormalities,"Years lost, /100 000 population, aged 75 years old"
PLYLSYMP_ANNTOTTX,"Symptoms, signs, ill-defined causes","Years lost, /100 000 population, aged 75 years old"
PLYLEXTC_ANNTOTTX,External causes of mortality,"Years lost, /100 000 population, aged 75 years old"
PLYLTRAC_ANNTOTTX,Transport Accidents,"Years lost, /100 000 population, aged 75 years old"
PLYLCHUT_ANNTOTTX,Accidental falls,"Years lost, /100 000 population, aged 75 years old"
PLYLHARM_ANNTOTTX,Intentional self-harm,"Years lost, /100 000 population, aged 75 years old"
PLYLHOCD_ANNTOTTX,Assault,"Years lost, /100 000 population, aged 75 years old"
PLYLTBLS_ANNTOTTX,Tuberculosis,"Years lost, /100 000 population, aged 75 years old"
PLYLNEOP_ANNTOTTX,Neoplasms,"Years lost, /100 000 population, aged 75 years old"
PLYLSTOM_ANNTOTTX,Malignant neoplasms of stomach,"Years lost, /100 000 population, aged 75 years old"
PLYLPANC_ANNTOTTX,Malignant neoplasms of pancreas,"Years lost, /100 000 population, aged 75 years old"
PLYLLIVR_ANNTOTTX,Malignant neoplasms of liver,"Years lost, /100 000 population, aged 75 years old"
PLYLHODG_ANNTOTTX,Hodgkin’s disease,"Years lost, /100 000 population, aged 75 years old"
PLYLLEUK_ANNTOTTX,Leukemia,"Years lost, /100 000 population, aged 75 years old"
PLYLBLAD_ANNTOTTX,Malignant neoplasms of bladder,"Years lost, /100 000 population, aged 75 years old"
PLYLSKIN_ANNTOTTX,Malignant melanoma of skin,"Years lost, /100 000 population, aged 75 years old"
PLYLDMTA_ANNTOTTX,Dementia,"Years lost, /100 000 population, aged 75 years old"
PLYLPARK_ANNTOTTX,Parkinson's disease,"Years lost, /100 000 population, aged 75 years old"
PLYLALZH_ANNTOTTX,Alzheimer's disease,"Years lost, /100 000 population, aged 75 years old"
PLYLPNEU_ANNTOTTX,Pneumonia,"Years lost, /100 000 population, aged 75 years old"
PLYLASMA_ANNTOTTX,Asthma,"Years lost, /100 000 population, aged 75 years old"
PLYLPEPT_ANNTOTTX,Peptic ulcer,"Years lost, /100 000 population, aged 75 years old"
PLYLACCD_ANNTOTTX,Accidents,"Years lost, /100 000 population, aged 75 years old"
PLYLPOSN_ANNTOTTX,Accidental poisoning,"Years lost, /100 000 population, aged 75 years old"
INFAPREM,Low birthweight,% of total live births
MATIMATM,Maternal mortality,Deaths per 100 000 live births
CANCTOCA_INCITFTF,Malignant neoplasms,Incidence per 100 000 females
CANCCOLC_INCITFTF,Malignant neoplasms of colon,Incidence per 100 000 females
CANCLUNC_INCITFTF,Malignant neoplasms of lung,Incidence per 100 000 females
CANCBREC,Malignant neoplasms of female breast,Incidence per 100 000 females
CANCCEIX,Malignant neoplasms of cervix,Incidence per 100 000 females
CANCTOCA_INCITHTH,Malignant neoplasms,Incidence per 100 000 males
CANCCOLC_INCITHTH,Malignant neoplasms of colon,Incidence per 100 000 males
CANCLUNC_INCITHTH,Malignant neoplasms of lung,Incidence per 100 000 males
CANCPROC,Malignant neoplasms of prostate,Incidence per 100 000 males
MATIPERI,Perinatal mortality,Deaths per 1 000 total births
CICDALLC_NBFEMEPF,All causes of death,Number of female deaths
CICDINFE_NBFEMEPF,Certain infectious and parasitic diseases,Number of female deaths
CICDHIVD_NBFEMEPF,HIV-AIDS,Number of female deaths
CICDTUME_NBFEMEPF,Malignant neoplasms,Number of female deaths
CICDNCRA_NBFEMEPF,"Malignant neoplasms of colon, rectum and anus",Number of female deaths
CICDCANC_NBFEMEPF,"Malignant neoplasms of trachea, bronchus, lung",Number of female deaths
CICDMNBR_NBFEMEPF,Malignant neoplasms of female breast,Number of female deaths
CICDCRVX_NBFEMEPF,Malignant neoplasms of cervix uteri,Number of female deaths
CICDSANG_NBFEMEPF,Diseases of the blood and blood-forming organs,Number of female deaths
CICDENDO_NBFEMEPF,"Endocrine, nutritional and metabolic diseases",Number of female deaths
CICDDBTM_NBFEMEPF,Diabetes mellitus,Number of female deaths
CICDTROU_NBFEMEPF,Mental and behavioural disorders,Number of female deaths
CICDNERV_NBFEMEPF,Diseases of the nervous system,Number of female deaths
CICDCIRC_NBFEMEPF,Diseases of the circulatory system,Number of female deaths
CICDISCH_NBFEMEPF,Ischaemic heart diseases,Number of female deaths
CICDMYOC_NBFEMEPF,Acute myocardial infarction,Number of female deaths
CICDCERV_NBFEMEPF,Cerebrovascular diseases,Number of female deaths
CICDREPS_NBFEMEPF,Diseases of the respiratory system,Number of female deaths
CICDINPN_NBFEMEPF,Influenza,Number of female deaths
CICDBAEM_NBFEMEPF,Chronic obstructive pulmonary diseases,Number of female deaths
CICDDIGE_NBFEMEPF,Diseases of the digestive system,Number of female deaths
CICDCIRR_NBFEMEPF,Chronic liver diseases and cirrhosis,Number of female deaths
CICDPEAU_NBFEMEPF,Diseases of the skin and subcutaneous tissue,Number of female deaths
CICDOSTE_NBFEMEPF,Diseases of the musculoskeletal system and connective tissue,Number of female deaths
CICDGENI_NBFEMEPF,Diseases of the genitourinary system,Number of female deaths
CICDGROS_NBFEMEPF,"Pregnancy, childbirth and the puerperium",Number of female deaths
CICDAFFE_NBFEMEPF,Certain conditions originating in the perinatal period,Number of female deaths
CICDCONG_NBFEMEPF,"Congenital malformations, deformations and chromosomal abnormalities",Number of female deaths
CICDSYMP_NBFEMEPF,"Symptoms, signs, ill-defined causes",Number of female deaths
CICDEXTC_NBFEMEPF,External causes of mortality,Number of female deaths
CICDTRAC_NBFEMEPF,Transport Accidents,Number of female deaths
CICDCHUT_NBFEMEPF,Accidental falls,Number of female deaths
CICDHARM_NBFEMEPF,Intentional self-harm,Number of female deaths
CICDHOCD_NBFEMEPF,Assault,Number of female deaths
CICDTBLS_NBFEMEPF,Tuberculosis,Number of female deaths
CICDNEOP_NBFEMEPF,Neoplasms,Number of female deaths
CICDSTOM_NBFEMEPF,Malignant neoplasms of stomach,Number of female deaths
CICDPANC_NBFEMEPF,Malignant neoplasms of pancreas,Number of female deaths
CICDLIVR_NBFEMEPF,Malignant neoplasms of liver,Number of female deaths
CICDOVRY_NBFEMEPF,Malignant neoplasms of ovary,Number of female deaths
CICDHODG_NBFEMEPF,Hodgkin’s disease,Number of female deaths
CICDLEUK_NBFEMEPF,Leukemia,Number of female deaths
CICDBLAD_NBFEMEPF,Malignant neoplasms of bladder,Number of female deaths
CICDSKIN_NBFEMEPF,Malignant melanoma of skin,Number of female deaths
CICDDMTA_NBFEMEPF,Dementia,Number of female deaths
CICDPARK_NBFEMEPF,Parkinson's disease,Number of female deaths
CICDALZH_NBFEMEPF,Alzheimer's disease,Number of female deaths
CICDPNEU_NBFEMEPF,Pneumonia,Number of female deaths
CICDASMA_NBFEMEPF,Asthma,Number of female deaths
CICDPEPT_NBFEMEPF,Peptic ulcer,Number of female deaths
CICDACCD_NBFEMEPF,Accidents,Number of female deaths
CICDPOSN_NBFEMEPF,Accidental poisoning,Number of female deaths
CICDALLC_NBMALEPH,All causes of death,Number of male deaths
CICDINFE_NBMALEPH,Certain infectious and parasitic diseases,Number of male deaths
CICDHIVD_NBMALEPH,HIV-AIDS,Number of male deaths
CICDTUME_NBMALEPH,Malignant neoplasms,Number of male deaths
CICDNCRA_NBMALEPH,"Malignant neoplasms of colon, rectum and anus",Number of male deaths
CICDCANC_NBMALEPH,"Malignant neoplasms of trachea, bronchus, lung",Number of male deaths
CICDMNPR_NBMALEPH,Malignant neoplasms of prostate,Number of male deaths
CICDSANG_NBMALEPH,Diseases of the blood and blood-forming organs,Number of male deaths
CICDENDO_NBMALEPH,"Endocrine, nutritional and metabolic diseases",Number of male deaths
CICDDBTM_NBMALEPH,Diabetes mellitus,Number of male deaths
CICDTROU_NBMALEPH,Mental and behavioural disorders,Number of male deaths
CICDNERV_NBMALEPH,Diseases of the nervous system,Number of male deaths
CICDCIRC_NBMALEPH,Diseases of the circulatory system,Number of male deaths
CICDISCH_NBMALEPH,Ischaemic heart diseases,Number of male deaths
CICDMYOC_NBMALEPH,Acute myocardial infarction,Number of male deaths
CICDCERV_NBMALEPH,Cerebrovascular diseases,Number of male deaths
CICDREPS_NBMALEPH,Diseases of the respiratory system,Number of male deaths
CICDINPN_NBMALEPH,Influenza,Number of male deaths
CICDBAEM_NBMALEPH,Chronic obstructive pulmonary diseases,Number of male deaths
CICDDIGE_NBMALEPH,Diseases of the digestive system,Number of male deaths
CICDCIRR_NBMALEPH,Chronic liver diseases and cirrhosis,Number of male deaths
CICDPEAU_NBMALEPH,Diseases of the skin and subcutaneous tissue,Number of male deaths
CICDOSTE_NBMALEPH,Diseases of the musculoskeletal system and connective tissue,Number of male deaths
CICDGENI_NBMALEPH,Diseases of the genitourinary system,Number of male deaths
CICDAFFE_NBMALEPH,Certain conditions originating in the perinatal period,Number of male deaths
CICDCONG_NBMALEPH,"Congenital malformations, deformations and chromosomal abnormalities",Number of male deaths
CICDSYMP_NBMALEPH,"Symptoms, signs, ill-defined causes",Number of male deaths
CICDEXTC_NBMALEPH,External causes of mortality,Number of male deaths
CICDTRAC_NBMALEPH,Transport Accidents,Number of male deaths
CICDCHUT_NBMALEPH,Accidental falls,Number of male deaths
CICDHARM_NBMALEPH,Intentional self-harm,Number of male deaths
CICDHOCD_NBMALEPH,Assault,Number of male deaths
CICDTBLS_NBMALEPH,Tuberculosis,Number of male deaths
CICDNEOP_NBMALEPH,Neoplasms,Number of male deaths
CICDSTOM_NBMALEPH,Malignant neoplasms of stomach,Number of male deaths
CICDPANC_NBMALEPH,Malignant neoplasms of pancreas,Number of male deaths
CICDLIVR_NBMALEPH,Malignant neoplasms of liver,Number of male deaths
CICDHODG_NBMALEPH,Hodgkin’s disease,Number of male deaths
CICDLEUK_NBMALEPH,Leukemia,Number of male deaths
CICDBLAD_NBMALEPH,Malignant neoplasms of bladder,Number of male deaths
CICDSKIN_NBMALEPH,Malignant melanoma of skin,Number of male deaths
CICDDMTA_NBMALEPH,Dementia,Number of male deaths
CICDPARK_NBMALEPH,Parkinson's disease,Number of male deaths
CICDALZH_NBMALEPH,Alzheimer's disease,Number of male deaths
CICDPNEU_NBMALEPH,Pneumonia,Number of male deaths
CICDASMA_NBMALEPH,Asthma,Number of male deaths
CICDPEPT_NBMALEPH,Peptic ulcer,Number of male deaths
CICDACCD_NBMALEPH,Accidents,Number of male deaths
CICDPOSN_NBMALEPH,Accidental poisoning,Number of male deaths
CICDALLC_NBPOPUPC,All causes of death,Number of total deaths
CICDINFE_NBPOPUPC,Certain infectious and parasitic diseases,Number of total deaths
CICDHIVD_NBPOPUPC,HIV-AIDS,Number of total deaths
CICDTUME_NBPOPUPC,Malignant neoplasms,Number of total deaths
CICDNCRA_NBPOPUPC,"Malignant neoplasms of colon, rectum and anus",Number of total deaths
CICDCANC_NBPOPUPC,"Malignant neoplasms of trachea, bronchus, lung",Number of total deaths
CICDSANG_NBPOPUPC,Diseases of the blood and blood-forming organs,Number of total deaths
CICDENDO_NBPOPUPC,"Endocrine, nutritional and metabolic diseases",Number of total deaths
CICDDBTM_NBPOPUPC,Diabetes mellitus,Number of total deaths
CICDTROU_NBPOPUPC,Mental and behavioural disorders,Number of total deaths
CICDNERV_NBPOPUPC,Diseases of the nervous system,Number of total deaths
CICDCIRC_NBPOPUPC,Diseases of the circulatory system,Number of total deaths
CICDISCH_NBPOPUPC,Ischaemic heart diseases,Number of total deaths
CICDMYOC_NBPOPUPC,Acute myocardial infarction,Number of total deaths
CICDCERV_NBPOPUPC,Cerebrovascular diseases,Number of total deaths
CICDREPS_NBPOPUPC,Diseases of the respiratory system,Number of total deaths
CICDINPN_NBPOPUPC,Influenza,Number of total deaths
CICDBAEM_NBPOPUPC,Chronic obstructive pulmonary diseases,Number of total deaths
CICDDIGE_NBPOPUPC,Diseases of the digestive system,Number of total deaths
CICDCIRR_NBPOPUPC,Chronic liver diseases and cirrhosis,Number of total deaths
CICDPEAU_NBPOPUPC,Diseases of the skin and subcutaneous tissue,Number of total deaths
CICDOSTE_NBPOPUPC,Diseases of the musculoskeletal system and connective tissue,Number of total deaths
CICDGENI_NBPOPUPC,Diseases of the genitourinary system,Number of total deaths
CICDAFFE_NBPOPUPC,Certain conditions originating in the perinatal period,Number of total deaths
CICDCONG_NBPOPUPC,"Congenital malformations, deformations and chromosomal abnormalities",Number of total deaths
CICDSYMP_NBPOPUPC,"Symptoms, signs, ill-defined causes",Number of total deaths
CICDEXTC_NBPOPUPC,External causes of mortality,Number of total deaths
CICDTRAC_NBPOPUPC,Transport Accidents,Number of total deaths
CICDCHUT_NBPOPUPC,Accidental falls,Number of total deaths
CICDHARM_NBPOPUPC,Intentional self-harm,Number of total deaths
CICDHOCD_NBPOPUPC,Assault,Number of total deaths
CICDTBLS_NBPOPUPC,Tuberculosis,Number of total deaths
CICDNEOP_NBPOPUPC,Neoplasms,Number of total deaths
CICDSTOM_NBPOPUPC,Malignant neoplasms of stomach,Number of total deaths
CICDPANC_NBPOPUPC,Malignant neoplasms of pancreas,Number of total deaths
CICDLIVR_NBPOPUPC,Malignant neoplasms of liver,Number of total deaths
CICDHODG_NBPOPUPC,Hodgkin’s disease,Number of total deaths
CICDLEUK_NBPOPUPC,Leukemia,Number of total deaths
CICDBLAD_NBPOPUPC,Malignant neoplasms of bladder,Number of total deaths
CICDSKIN_NBPOPUPC,Malignant melanoma of skin,Number of total deaths
CICDDMTA_NBPOPUPC,Dementia,Number of total deaths
CICDPARK_NBPOPUPC,Parkinson's disease,Number of total deaths
CICDALZH_NBPOPUPC,Alzheimer's disease,Number of total deaths
CICDPNEU_NBPOPUPC,Pneumonia,Number of total deaths
CICDASMA_NBPOPUPC,Asthma,Number of total deaths
CICDPEPT_NBPOPUPC,Peptic ulcer,Number of total deaths
CICDACCD_NBPOPUPC,Accidents,Number of total deaths
CICDPOSN_NBPOPUPC,Accidental poisoning,Number of total deaths
SRHSFGHA,"Good/very good health, females aged 15-24",% of population (crude rate)
SRHSFGHB,Good/very good health females aged 25-44,% of population (crude rate)
SRHSFGHC,Good/very good health females aged 45-64,% of population (crude rate)
SRHSFGHD,"Good/very good health, females aged 65+",% of population (crude rate)
SRHSFGHE,"Good/very good health, females aged 15+",% of population (crude rate)
SRHSMGHA,"Good/very good health, males aged 15-24",% of population (crude rate)
SRHSMGHB,"Good/very good health, males aged 25-44",% of population (crude rate)
SRHSMGHC,"Good/very good health, males aged 45-64",% of population (crude rate)
SRHSMGHD,"Good/very good health, males aged 65+",% of population (crude rate)
SRHSMGHE,"Good/very good health, males aged 15+",% of population (crude rate)
SRHSTGHA,"Good/very good health, total aged 15-24",% of population (crude rate)
SRHSTGHB,"Good/very good health, total aged 25-44",% of population (crude rate)
SRHSTGHC,"Good/very good health, total aged 45-64",% of population (crude rate)
SRHSTGHD,"Good/very good health, total aged 65+",% of population (crude rate)
SRHSTGHE,"Good/very good health, total aged 15+",% of population (crude rate)
EVIEFE00_EVIFHOEV,Females at birth,Difference female-male (years)
EVIEFE40_EVIFHOEV,Females at age 40,Difference female-male (years)
EVIEFE60_EVIFHOEV,Females at age 60,Difference female-male (years)
EVIEFE65_EVIFHOEV,Females at age 65,Difference female-male (years)
EVIEFE80_EVIFHOEV,Females at age 80,Difference female-male (years)
EVIEHO00_EVIHFEEV,Males at birth,Difference male-female (years)
EVIEHO40_EVIHFEEV,Males at age 40,Difference male-female (years)
EVIEHO60_EVIHFEEV,Males at age 60,Difference male-female (years)
EVIEHO65_EVIHFEEV,Males at age 65,Difference male-female (years)
EVIEHO80_EVIHFEEV,Males at age 80,Difference male-female (years)
COMDAIDS_NOMBRENB,Acquired immunodeficiency syndrome (AIDS),Number
SRECMA56,"Good/very good health, males aged 15+, High education (ISCED 5 to 8)",% of population (crude rate)
SRECMA02,"Good/very good health, males aged 15+, Low education (ISCED 0 to 2)",% of population (crude rate)
SRECGHQV,"Good/very good health, total aged 15+, Income quintile 5 (highest)",% of population (crude rate)
SRECTO56,"Good/very good health, total aged 15+, High education (ISCED 5 to 8)",% of population (crude rate)
SRECFE56,"Good/very good health, females aged 15+, High education (ISCED 5 to 8)",% of population (crude rate)
SRECTO02,"Good/very good health, total aged 15+, Low education (ISCED 0 to 2)",% of population (crude rate)
SRECMA34,"Good/very good health, males aged 15+, Medium education (ISCED 3 and 4)",% of population (crude rate)
SRECFE02,"Good/very good health, females aged 15+, Low education (ISCED 0 to 2)",% of population (crude rate)
SRECTO34,"Good/very good health, total aged 15+, Medium education (ISCED 3 and 4)",% of population (crude rate)
SRECFE34,"Good/very good health, females aged 15+, Medium education (ISCED 3 and 4)",% of population (crude rate)
SRECGHQO,"Good/very good health, total aged 15+, Income quintile 1 (lowest)",% of population (crude rate)
PRHSMBAH,"Bad/very bad health, males aged 15+",% of population (crude rate)
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",% of population (crude rate)
PRHSTBAH,"Bad/very bad health, total aged 15+",% of population (crude rate)
PRHSFBAH,"Bad/very bad health, females aged 15+",% of population (crude rate)
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",% of population (crude rate)
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",% of population (crude rate)
PRHSMGHE,"Good/very good health, males aged 15+",% of population (crude rate)
PRHSTGHE,"Good/very good health, total aged 15+",% of population (crude rate)
PRHSFGHE,"Good/very good health, females aged 15+",% of population (crude rate)
MATINETW,"Neonatal mortality, Minimum threshold of 22 weeks (or 500 grams birthweight)",Deaths per 1 000 live births
