"indicator_code"	"indicator_name"	"long_definition"
"SP.POP.3539.MA.5Y"	"Population ages 35-39, male (% of male population)"	"Male population between the ages 35 to 39 as a percentage of the total male population."
"SP.POP.4044.FE.5Y"	"Population ages 40-44, female (% of female population)"	"Female population between the ages 40 to 44 as a percentage of the total female population."
"SP.POP.4044.MA.5Y"	"Population ages 40-44, male (% of male population)"	"Male population between the ages 40 to 44 as a percentage of the total male population."
"SP.POP.4549.FE.5Y"	"Population ages 45-49, female (% of female population)"	"Female population between the ages 45 to 49 as a percentage of the total female population."
"SP.POP.4549.MA.5Y"	"Population ages 45-49, male (% of male population)"	"Male population between the ages 45 to 49 as a percentage of the total male population."
"SP.POP.5054.FE.5Y"	"Population ages 50-54, female (% of female population)"	"Female population between the ages 50 to 54 as a percentage of the total female population."
"SP.POP.5054.MA.5Y"	"Population ages 50-54, male (% of male population)"	"Male population between the ages 50 to 54 as a percentage of the total male population."
"SP.POP.5559.FE.5Y"	"Population ages 55-59, female (% of female population)"	"Female population between the ages 55 to 59 as a percentage of the total female population."
"SP.POP.5559.MA.5Y"	"Population ages 55-59, male (% of male population)"	"Male population between the ages 55 to 59 as a percentage of the total male population."
"SP.POP.6064.FE.5Y"	"Population ages 60-64, female (% of female population)"	"Female population between the ages 60 to 64 as a percentage of the total female population."
"SP.POP.6064.MA.5Y"	"Population ages 60-64, male (% of male population)"	"Male population between the ages 60 to 64 as a percentage of the total male population."
"SP.POP.6569.FE.5Y"	"Population ages 65-69, female (% of female population)"	"Female population between the ages 65 to 69 as a percentage of the total female population."
"SP.POP.6569.MA.5Y"	"Population ages 65-69, male (% of male population)"	"Male population between the ages 65 to 69 as a percentage of the total male population."
"SP.POP.65UP.FE.IN"	"Population ages 65 and above, female"	"Female population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.65UP.FE.ZS"	"Population ages 65 and above, female (% of female population)"	"Female population 65 years of age or older as a percentage of the total female population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.65UP.MA.IN"	"Population ages 65 and above, male"	"Male population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.65UP.MA.ZS"	"Population ages 65 and above, male (% of male population)"	"Male population 65 years of age or older as a percentage of the total male population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.65UP.TO"	"Population ages 65 and above, total"	"Total population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.65UP.TO.ZS"	"Population ages 65 and above (% of total population)"	"Population ages 65 and above as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.7074.FE.5Y"	"Population ages 70-74, female (% of female population)"	"Female population between the ages 70 to 74 as a percentage of the total female population."
"SP.POP.7074.MA.5Y"	"Population ages 70-74, male (% of male population)"	"Male population between the ages 70 to 74 as a percentage of the total male population."
"SP.POP.7579.FE.5Y"	"Population ages 75-79, female (% of female population)"	"Female population between the ages 75 to 79 as a percentage of the total female population."
"SP.POP.7579.MA.5Y"	"Population ages 75-79, male (% of male population)"	"Male population between the ages 75 to 79 as a percentage of the total male population."
"SP.POP.80UP.FE"	"Population ages 80 and above, female"	"Female population between the ages 80 and above."
"SP.POP.80UP.FE.5Y"	"Population ages 80 and above, female (% of female population)"	"Female population between the ages 80 and above as a percentage of the total female population."
"SP.POP.80UP.MA.5Y"	"Population ages 80 and above, male (% of male population)"	"Male population between the ages 80 and above as a percentage of the total male population."
"SP.POP.BRTH.MF"	"Sex ratio at birth (male births per female births)"	"Sex ratio at birth refers to male births per female births. The data are 5 year averages."
"SP.POP.DPND"	"Age dependency ratio (% of working-age population)"	"Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population."
"SP.POP.DPND.OL"	"Age dependency ratio, old (% of working-age population)"	"Age dependency ratio, old, is the ratio of older dependents--people older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population."
"SP.POP.DPND.YG"	"Age dependency ratio, young (% of working-age population)"	"Age dependency ratio, young, is the ratio of younger dependents--people younger than 15--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population."
"SP.POP.GROW"	"Population growth (annual %)"	"Annual population growth rate for year t is the exponential rate of growth of midyear population from year t-1 to t, expressed as a percentage . Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
"SP.POP.TOTL"	"Population, total"	"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates."
"SP.POP.TOTL.FE.IN"	"Population, female"	"Female population is based on the de facto definition of population, which counts all female residents regardless of legal status or citizenship."
"SP.POP.TOTL.FE.ZS"	"Population, female (% of total population)"	"Female population is the percentage of the population that is female. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
